productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
Classic Single Flap Bag Sequins Medium,Chanel,"
            $3,150
        ",/collections/chanel/products/handbags-chanel-classic-single-flap-bag-sequins-medium5478913,Very good,". Minor wear and creasing on exterior, wear on strap and underneath flap, scratches on hardware.",Black,Sequins,Gun Metal,Authenticity Card,19279307,"Handle Drop 11.5&quot;, Height 6.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 21.5&quot;",54789/13,HB.CH.CSF.SEQN.ME 
Camera Case Bag Quilted Glazed Calfskin Small,Chanel,"
            $3,480
        ",/collections/chanel/products/handbags-chanel-camera-case-bag-quilted-glazed-calfskin-small548681,Very good,". Creasing and scuffs on exterior and strap, moderate wear on base and opening corners. Minor wear in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,26809547,"Height 7&quot;, Width 10.5&quot;, Depth 4&quot;, Strap Drop 21&quot;",54868/1,HB.CH.CCAB.QGLC.SM 
Vintage Classic Top Handle Flap Bag Quilted Caviar Jumbo,Chanel,"
            $2,750
        ",/collections/chanel/products/handbags-chanel-vintage-classic-top-handle-flap-bag-quilted-caviar-jumbo5490914,Very good,". Moderate wear on base corners, creasing on exterior, minor wear on handle. Scuffs and indentations in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,6868381,"Handle Drop 3&quot;, Height 9&quot;, Width 11.5&quot;, Depth 5&quot;",54909/14,HB.CH.VCFH.QCA.JB 
Boy Double Zip Clutch with Chain Quilted Lambskin,Chanel,"
            $2,035
        ",/collections/chanel/products/handbags-chanel-boy-double-zip-clutch-with-chain-quilted-lambskin547011,Very good,". Wear on base and opening corners, pilling on zipper tape, light wear in interior, scratches and discoloration on hardware.",Brown,Leather,Gold,Authenticity Card,26385542,"Height 3.5&quot;, Width 7&quot;, Depth 1&quot;, Strap Drop 23&quot;",54701/1,HB.CH.ZWOC.QULA 
Coco Curve Flap Messenger Calfskin and Quilted Goatskin Small,Chanel,"
            $2,900
        ",/collections/chanel/products/handbags-chanel-coco-curve-flap-messenger-calfskin-and-quilted-goatskin-small549364,Great,. Small indentations on front flap and minor wear in the interior.,Black,Leather,Aged Gold,Authenticity Card,23134077,"Handle Drop 4.5&quot;, Height 6&quot;, Width 8&quot;, Depth 3&quot;, Strap Drop 20.5&quot;",54936/4,HB.CH.CRVH.CQG.SM 
Vintage Pocket Camera Bag Diagonal Quilted Leather Large,Chanel,"
            $3,180
        ",/collections/chanel/products/handbags-chanel-vintage-pocket-camera-bag-diagonal-quilted-leather-large547898,Great,". Minor creasing on exterior and underneath flap, slight discoloration along exterior piping. Light wear in interior, scratches on hardware.","Brown, Metallic",Leather,Gold,"Box, Dust Bag, Authenticity Card",2331005,"Height 8&quot;, Width 10.5&quot;, Depth 3&quot;, Strap Drop 17&quot;",54789/8,HB.CH.VCPCB.DGQL.LG 
Timeless CC French Wallet Caviar Long,Chanel,"
            $525
        ",/collections/chanel/products/handbags-chanel-timeless-cc-french-wallet-caviar-long549644,Good,". Heavy wear on corners, creasing on exterior edges, heavy scuffs in the interior, scratches and discoloration on hardware.",Black,Leather,,No Accessories,7377261,"Height 4&quot;, Width 7&quot;, Depth 0.5&quot;",54964/4,AC.CH.TCFW.CAV.LO 
O Case Clutch Quilted Lambskin Medium,Chanel,"
            $895
        ",/collections/chanel/products/handbags-chanel-o-case-clutch-quilted-lambskin-medium5458016,Very good,". Wear, scuffs, small indentations and glue stains on exterior, scratches on hardware.",Blue,Leather,Silver,No Accessories,22407018,"Height 8&quot;, Width 10.5&quot;, Depth 1&quot;",54580/16,HB.CH.OCC.QULA.ME 
Square Wallet on Chain Mixed Media Patchwork,Chanel,"
            $2,660
        ",/collections/chanel/products/handbags-chanel-square-wallet-on-chain-mixed-media-patchwork55078312,Great,". Light wear on base corners, creasing and moderate scuffs underneath flap. Minor wear and small stains in interior, scratches on hardware.",Black,Fabric,Gun Metal,"Box, Authenticity Card",25771984,"Height 5.5&quot;, Width 6.5&quot;, Depth 2&quot;, Strap Drop 22.5&quot;",55078/312,HB.CH.SQWO.MMP 
Wallet on Chain with Coin Purse Quilted Tweed with Shearling,Chanel,"
            $3,580
        ",/collections/chanel/products/handbags-chanel-wallet-on-chain-with-coin-purse-quilted-tweed-with-shearling549091,Excellent,". Minor indentations on front underneath flap, light wear in interior, scratches on hardware.",Blue,"Shearling, Tweed",Gold,"Box, Pochette, Dust Bag, Authenticity Card",28900091,"Height 5&quot;, Width 7.5&quot;, Depth 2&quot;, Strap Drop 24&quot;",54909/1,HB.CH.WCPU.QTE 
