prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
LOUIS VUITTON MONCEAU 28 2WAY HAND BAG EPI BLACK M52122,/collections/louis-vuitton/products/ao21827,"148,000",SR 0025,"W 11.0 x H 8.7 x D 2.4 ""

Handle Drop. 1.4 ""

Strap Drop. 20.1 - 23.6 """,Black/ Epi Leather,"Shoulder Strap, Keys*2","Excellent Condition

Metal fittings: Scratches",Excellent Condition,-,-,AO21827
LOUIS VUITTON KEEPALL 60 BANDOULIERE 2WAY TRAVEL HAND BAG MONOGRAM M41412,/collections/louis-vuitton/products/ao21782,"128,000",MB 0046,"W 23.8 x H 12.2 x D 10.2 ""

Handle Drop. 4.3 ""

Strap Drop. 18.1 - 21.7 ""","Brown/ Monogram Canvas, Leather","Shoulder Strap, Handle Holder, Name Tag, Box","Excellent Condition

Minor suntanned",Excellent Condition,-,-,AO21782
LOUIS VUITTON SAC A DOS GM BACKPACK INDIGO MONOGRAM DENIM M95056,/collections/louis-vuitton/products/ao21780,"458,000",CA 0096,"W 11.4 x H 12.2 x D 7.1 ""

Handle Drop. 2.0 ""

Strap total length. 25.2 - 32.3 ""","Indigo, Brown/ Monogram Denim, Leather",Dust Bag,Good Condition,Excellent Condition,-,-,AO21780
LOUIS VUITTON ALMA HAND BAG EPI BROWN M52143,/collections/louis-vuitton/products/ao21679,"79,800",MI 1916,"W 12.0 x H 9.4 x D 6.3 ""

Handle Drop. 3.1 """,Brown/ Epi Leather,-,Good Condition,Good Condition,-,-,AO21679
LOUIS VUITTON SOUFFLOT HAND BAG EPI RED M52227,/collections/louis-vuitton/products/ao21591,"79,800",MI 1905,"W 12.2 x H 5.9 x D 5.5 ""

Handle Drop. 6.7 ""","Red/ Epi Leather, Leather","Pouch, Dust Bag",Excellent Condition,Excellent Condition,-,,AO21591
LOUIS VUITTON KEEPALL 45 TRAVEL HAND BAG MONOGRAM MULTI M92640,/collections/louis-vuitton/products/ao21589,"398,000",FL 1023,"W 18.1 x H 10.8 x D 8.3 ""

Handle Drop. 6.3 ""","Black, etc./ Monogram Multi- Color Canvas, Leather","Cover of Key, Keys*2, Dust Bag","Good Condition

Stains

Metal fittings: Scratches",Good Condition,-,,AO21589
LOUIS VUITTON JEWELRY BOX WATCH CASE TRUNK MONOGRAM,/collections/louis-vuitton/products/ao21562,"398,000",D60718,"W 7.1 x H 4.9 x D 7.1 ""","Brown/ Monogram Canvas, Leather",Keys*2,Excellent Condition,Excellent Condition,-,-,AO21562
LOUIS VUITTON VINTAGE TRUNK 60 ATTACHE HARD CASE MONOGRAM,/collections/louis-vuitton/products/ao21539,"248,000",-,"W 23.6 x H 7.1 x D 19.1 ""

Handle Drop. 2.0 ""","Brown/ Monogram Canvas, Leather","Keys*2, Hanger*4","Obvious sigh of use with heavy damages

Scratches","Obvious sigh of use with heavy damages

Stains

Missing metal fittings(Rivet)",-,,AO21539
LOUIS VUITTON BOITE PHARMACIE COSMETIC BOX MONOGRAM M21826,/collections/louis-vuitton/products/ao21536,"398,000",1060593,"W 14.0 x H 9.8 x D 8.3 ""

Handle Drop. 1.6 ""","Brown/ Monogram Canvas, Leather","Manual, Keys*2, Wood Box",There is sign of use overall,Excellent Condition,-,,AO21536
LOUIS VUITTON BOITE FLACONS HAND BAG COSMETIC BOX MONOGRAM MINI SP ORDER,/collections/louis-vuitton/products/ao21535,"398,000",AA031312,"W 8.5 x H 7.9 x D 11.6 ""

Handle Drop. 1.6 ""","Beige，Brown/ Monogram Mini Canvas, Leather","Wood Box, Manual, Keys*2, Name Tag",Good Condition,Good Condition,-,,AO21535
