prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
HERMES Masai 2way Shoulder Bag Brown Veau Crispe Togo,/collections/hermes/products/ao15961,"128,000",Square : L ;Production in 2008,"W 12.6 × H 10.6 × D 2.4 ""

Strap Drop. 11.8 or 17.7 ""","Brown
/
Veau Crispe Togo","Adjust Strap, Dust Bag","Good condition

Corner: minor scuff.",There is minor sign of use overall.,-,-,AO15961
HERMES Logos Horse Shoulder Bag Black,/collections/hermes/products/ao15864,"98,000",Couldn't find.,"W 5.1 x H 5.5 x D 2.4 ""

Strap Drop. 22.8 ""","Black
/
Suede","Dust Bag, Box","There is sign of used overall.

Suede: scuff and minor peeled.",There is sign of used overall.,-,-,AO15864
HERMES HAUT A COURROIES 45 Hand Bag Red Ardennes,/collections/hermes/products/ao15226,"698,000",Square : A ;Production in 1997,"W 17.7 x H 15.0 x D 9.8 ""

Handle Drop. 3.9 ""","Red
/
Vachette Grainee Des Ardennes","Dust Bag, Keys*2, Cover of Keys(The Padlock is not included.)","There is minor sign of use overall.

Shape:There is a dent.",There is sign of use overall.,-,-,AO15226
HERMES Rodeo Shoulder Bag Red Traurillon,/collections/hermes/products/ao14553,"98,000",Square: C ;Production in 1999,"W 13.4 x H 10.2 x D 3.9 "" 
Shoulder Drop. 10.6 - 20.9 ""","Red
 / Traurillon Clemence",-,There is sign of use overall.,There is sign of use overall.,-,-,AO14553
HERMES Bolide Cosmetic Pouch Bag White Red Veau Epsom,/collections/hermes/products/ao13172,"39,800",Unclear due to deterioration.,"W 9.8 x H 6.7 x D 3.3 ""","White, Red/ Veau Epsom",-,There is feeling of used.,There is feeling of used.,-,-,AO13172
HERMES H Logos Mini Bolide Pouch Yellow,/collections/hermes/products/ao13171,"24,800",-,"W 7.9 x H 5.5 x D 2.4 """,Yellow/ 100 % Cotton,Box,Good condition.,"Though there is a little feeling of used, good condition.",-,-,AO13171
HERMES KELLY SPORT MM Shoulder Bag Red Veau Graine Lisse,/collections/hermes/products/ao13063,"598,000",Square : E ;Production in 2001,"W 9.4 x H 11.4 x D 4.3 ""
Strap Drop. 14.6 - 15.7 ""","Red
/ Veau Graine Lisse",Dust Bag,"Though there is a little feeling of used, good condition.
br>
There is scuff.","Though there is a little feeling of used, good condition.",-,-,AO13063
HERMES BOLIDE RELAX 35 Hand Bag Brown Veau Swift,/collections/hermes/products/ao12998,"368,000",Square : P ; Production in 2012,"W 13.8 "" x H 10.6 "" x D 5.5 ""
Handle Drop. 3.9 ""","Brown
/ Veau Swift","Dust Bag, Cover of Keys, Keys*2, Padlock, Manual, Box","Though there is a little feeling of used, good condition.","Though there is a little feeling of used, good condition.",-,-,AO12998
HERMES SAC STEEPLE Hand Tote Bag Beige Toile GM,/collections/hermes/products/ao12535,"328,000",Square: O ;Production in 2011,"W 12.2 x H 12.4 x D 12.0 ""
Handle Drop. 6.3 ""","Beige, Brown, etc
/ Toile GM, Leather",Dust Bag,"Though there is a little feeling of used, good condition.

Corner and leather has scuff and dirt.","Though there is a little feeling of used, good condition.",-,-,AO12535
HERMES Onimaitou Pochette Cross Body Shoulder Bag Bordeaux Box Calf,/collections/hermes/products/ao12534,"59,800",-,"W 6.5 "" x H 7.5 "" x D 1.0 ""
Strap Drop. 22.0 ""","Bordeaux
/ Box Calf","Dust Bag, Box","Though there is a little feeling of used, good condition.","Though there is a little feeling of used, good condition.",-,-,AO12534
HERMES BOLIDE 31 2way Hand Bag Black Veau Chamonix,/collections/hermes/products/ao12529,"428,000",Square : I ; Production in 2005,"W 12.2 x H 9.4 x D 4.7 ""
Handle Drop. 3.9 ""
Shoulder Drop. 16.5 ""","Black
/ Veau Chamonix","Cover of Key, Keys*2, Padlock, Shoulder Strap, Dust Bag, Box","Though there is minor scratches, good condition.","There is feeling of used.

There is scratches.",-,-,AO12529
