productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Togo Birkin 35 Gold,https://www.fashionphile.com/hermes-togo-birkin-35-gold-503093,"
                                                    $11,500                                            ",Hermes,,503093,Handbags,14 ,11 ,7.5 ,4 ,2010,"box, dust bag, clochette, lock, 2 keys, rain coa","We guarantee this is an authentic HERMES Togo Birkin 35 Gold or 100% of your money back. This sophisticated handbag is finely crafted of grained togo leather in a classic camel brown with white contrast stitching. This iconic Birkin features rolled leather top handles, a front flap, a hanging leather clochette and polished gold plated hardware including lock and keys. The top flap opens to a matching brown leather interior with zipper and patch pockets. This iconic handbag is a true classic for day or evening from Hermes! ",Very G,"Structure wear , leather has been treated, faint corner wear, faint scuffs","Scratch(es) , plating","Wear at resin glazing, structure wear","Scuffs , musty od",
Chèvre Mysore Jige Elan 29 Clutch Rose Shocking,https://www.fashionphile.com/hermes-chevre-mysore-jige-elan-29-clutch-rose-shocking-503975,"
                                                    $2,325                                            ",Hermes,"3,675",503975,Clutch & Evening,11.25 ,6 ,0.75 ,,,dust bag,We guarantee this is an authentic HERMES Chèvre Mysore Jige Elan 29 Clutch Rose Shocking or 100% of your money back. This stylish clutch is crafted of textured goatskin leather with trim in dark pink. There is a cross over flap and a strap that tucks under a leather Hermes initial. This opens to a leather interior with room for just the essentials for day or evening with the classic sophistication only from Hermes! ,Excell,"dge wear , marks",,,"Scuffs , edge wea",Worn serial number(s)
Swift Jige Elan 29 Rubis,https://www.fashionphile.com/hermes-swift-jige-elan-29-rubis-503635,"
                                                    $2,325                                            ",Hermes,"3,525",503635,Clutch & Evening,11.25 ,6 ,1 ,,,,"We guarantee this is an authentic HERMES Swift Jige Elan 29 Rubis or 100% of your money back. This stylish clutch is crafted of luxurious grained calfskin leather in dark pink. The clutch has a cross-over flap and a strap that tucks under a leather Hermes ""H."" This opens to a leather interior with room for just the essentials for day or evening with the classic sophisticated style only from Hermes! ",Excell,"Imprints, faint corner wear, faint scuffs",,,Scuffs,
Epsom Enamel Constance 18 Rouge de Coeur Mauve Sylvestre,https://www.fashionphile.com/hermes-epsom-enamel-constance-18-rouge-de-coeur-mauve-sylvestre-504706,"
                                                    $9,975                                            ",Hermes,,504706,Crossbody,7.5 ,5.75 ,2.25 ,20.75 ,2019,"box, dust bag","We guarantee this is an authentic HERMES Epsom Enamel Constance 18 Rouge de Coeur Mauve Sylvestre or 100% of your money back. This is a chic small bag that is finely crafted of luxurious epsom calfskin leather in red. The shoulder bag features a leather crossbody strap and a front flap with a polished palladium Hermes H logo clasp with a pink enamel inlay. The flap opens to a partitioned matching red leather interior with patch pockets. This is a fabulous day or evening bag with classic sophistication, only from Hermes! ",Excell,,"Protective plastic sticker(s) intact, faint scratch(es)",,"Scuffs , marks",
Swift Kelly Retourne 28 Pelouse,https://www.fashionphile.com/hermes-swift-kelly-retourne-28-pelouse-506983,"
                                                    $7,950                                            ",Hermes,,506983,Handbags,11 ,8.5 ,4.75 ,17.5 ,2009,"dust bag, strap, clochette, lock, 2 key","We guarantee this is an authentic HERMES Swift Kelly Retourne 28 Pelouse or 100% of your money back. This chic handbag is crafted of smooth and supple swift leather in bright green. The bag features a sturdy leather top handle, a flap and a strap closure with a palladium silver turn lock. This bag opens to a matching matte leather interior with a zip pocket. This is an elegant handbag for day or evening use, with the classical sophistication of Hermes!",Very G,"Corner wear, scuffs , structure wea",Scratch(es),Creases,Scuffs,
Evercolor Constance 24 Bleu Zanzibar,https://www.fashionphile.com/hermes-evercolor-constance-24-bleu-zanzibar-450054,"
                                                    $9,220                                            ",Hermes,,450054,Crossbody,8.5 ,7.25 ,3 ,17 ,,"box, dust bag","We guarantee this is an authentic HERMES Evercolor Constance 24 Bleu Zanzibar or 100% of your money back. This stylish shoulder bag is finely crafted of evercolor calfskin leather in bright blue. The bag features a long shoulder strap with palladium silver hardware including an H buckle at the flap. This opens to a compact partitioned leather interior with a flat pocket. This is a bold yet sophisticated shoulder bag for day to evening looks, from Hermes!",Excell,Faint scuffs,Scratch(es),,,
Evercolor Constance 24 Bleu Brighton,https://www.fashionphile.com/hermes-evercolor-constance-24-bleu-brighton-458042,"
                                                    $10,250                                            ",Hermes,,458042,Crossbody,9 ,7.25 ,2.5 ,18 ,2018,"box, dust bag","We guarantee this is an authentic HERMES Evercolor Constance 24 Bleu Brighton or 100% of your money back. This stylish shoulder bag is finely crafted of evercolor calfskin leather in blue. The bag features a long shoulder strap with gold tone hardware including an H buckle at the flap. This opens to a compact partitioned leather interior with a flat pocket. This is a bold yet sophisticated shoulder bag for day to evening looks, from Hermes!",Excell,Imprints,Scratch(es),,Scuffs,
Taurillon Clemence Mini Lindy 20 Ebene,https://www.fashionphile.com/hermes-taurillon-clemence-mini-lindy-20-ebene-499177,"
                                                    $12,950                                            ",Hermes,,499177,Handbags,7 ,5 ,3.5 ,21.5 ,2020,"box, dust bag, rain coa","We guarantee this is an authentic HERMES Taurillon Clemence Mini Lindy 20 Ebene or 100% of your money back. This stylish mini shoulder bag is beautifully crafted of textured dark brown calfskin leather. The bag features rolled leather top handles and looping shoulder strap with polished palladium hardware. The top zippers open to a matching leather interior with patch pockets. This is a chic shoulder bag, ideal for everyday use, from Hermes! ",New,,Protective plastic sticker(s) intact,,,
Taurillon Clemence Jypsiere 31 Black,https://www.fashionphile.com/hermes-taurillon-clemence-jypsiere-31-black-498473,"
                                                    $3,890                                            ",Hermes,"9,350",498473,Crossbody,11.5 ,9.75 ,5.5 ,18.75 ,2016,dust bag,"We guarantee this is an authentic HERMES Taurillon Clemence Jypsiere 31 Black or 100% of your money back. This stylish shoulder bag is crafted of Taurillon Clemence calfskin leather in black. The bag features a crossbody adjustable shoulder strap with palladium hardware and a broad front flap that closes with a silver palladium turn lock. The flap opens to a black chevre goatskin leather interior with zipper and patch pockets. This is an excellent shoulder bag for all of your everyday essentials, from Hermes!",Very G,Structure wea,Scratch(es),Sizing marks,,
Taurillon Maurice Swift 24/24 29 Black,https://www.fashionphile.com/hermes-taurillon-maurice-swift-2424-29-black-498313,"
                                                    $8,075                                            ",Hermes,,498313,Handbags,11.25 ,8.5 ,5 ,13.5 ,2019,"box, dust bag, strap","We guarantee this is an authentic HERMES Taurillon Maurice Swift 24/24 29 Black or 100% of your money back. This handbag is crafted of richly textured calfskin leather in black. The bag features a reinforced leather top handle, an optional leather shoulder strap, and palladium hardware including a padlock. The flap opens to a goatskin leather interior with a zipper pocket. This is an iconic and very sought after handbag, ideal for occasions that call for the luxury and style only from Hermes!",Excell,,Protective plastic sticker(s) intact,,"Scuffs , marks",
